,Coefficient
New York,9045840629585.688
Michigan,8536817244659.995
Colorado,7521430313614.007
California,7360420470837.036
Pennsylvania,7023777288846.963
New Hampshire,6476472902863.287
Wisconsin,6476472902862.213
Vermont,6280795365088.603
Minnesota,6077448629427.096
Utah,5865635135017.339
Idaho,5644401784030.257
Montana,5644401784029.873
Massachusetts,5412593623267.274
Washington,5168788081383.231
Oregon,5168788081382.964
Maine,4911198733354.963
New Mexico,4911198733353.289
Wyoming,4637529302909.907
North Carolina,4028671606732.84
Connecticut,3683328217462.7163
Ohio,3683328217461.438
West Virginia,3299533431992.673
Virginia,3299533431992.4004
Illinois,3299533431991.7163
Nevada,3299533431991.2656
Alaska,2861859054655.2305
Iowa,2861859054655.152
New Jersey,2340268338717.4893
Missouri,2340268338717.1323
Indiana,2340268338716.9727
Arizona,2340268338716.926
South Dakota,2340268338716.6973
Tennessee,1657340283195.3586
Maryland,1657340283194.831
Rhode Island,1657340283194.4912
AdultWeekday,19.239037692912042
triple,2.2366784465057874
summit_elev,1.8993109296265691
quad,1.527710671106861
double,1.3124025141118105
fastQuads,1.157118106662388
total_chairs,1.1208163682489927
vertical_drop,0.9583298500079902
Runs,0.9005196984609101
Snow Making_ac,0.8709410972434094
NightSkiing_ac,0.6434277580387107
daysOpenLastYear,0.5413061547164826
LongestRun_mi,0.4374870490605791
clusters,0.404351320269076
yearsOpen,0.3547436281460561
surface,0.3399401269023459
SkiableTerrain_ac,0.2009428689805679
projectedDaysOpen,0.14699202609774975
TerrainParks,0.09941888787431452
averageSnowfall,0.022046812621889837
